references,language,eng_caption,image_id
Imbwa y'umukara yinjiye mu mazi,kin_Latn,Black dog running into the water .,3246190363_68d903bfcb.jpg
Avu etɔ̃ le sno me dzram.,ewe_Latn,Three dogs play in snow .,377872472_35805fc143.jpg
Nwa agbọghọ na-eje ije n'elu nkume.,ibo_Latn,A girl walking on rocks .,765091078_a8a11c6f9e.jpg
Muntu ne mbwa wende pa mutu pa mukuna.,lua_Latn,A man and his dog on the top of a mountain .,1469358746_2a879abaf3.jpg
O ibuka ia jinjila ia mu di sueka ni kudia ku mazu mâ.,kmb_Latn,A flock of birds fly away with food in their beaks .,3294830188_e46bd9b93c.jpg
Cɛɛ dɔ siginin be faraw daa la.,dyu_Latn,A man sits on the edge of a cliff overlooking a deep valley .,3339747039_1a8455c210.jpg
Raan cï luk looi acï bɛ̈n them bï tɔŋ kam kɔc rou në game hockey yic bɛ̈n puɔ̈l.,dik_Latn,A referee tries to break up a fight between two players at a hockey game .,3157622277_9f59b4f62f.jpg
Abakashana babili balalanshanya pa ice skating.,bem_Latn,Two girls are ice skating with each other .,1321723162_9d4c78b8af.jpg
Mwanangana uze apwile nakusoneka nguvo yalitolo apwile nakuhita kufuma ku mukiti kuya ku lilama.,cjk_Latn,A girl dressed in pink runs from the ocean to the beach .,3576536763_3c8c4f232e.jpg
Bantu badi benda mu njila wa pambelu.,lua_Latn,People walk on a path outside .,2278766574_f71f1704a8.jpg
Umwanakashi uufwele ishaketi lyafiita no kupomba akenda pa mopedi yakwe iyabuuta no yabuuta.,bem_Latn,A woman wearing a black skirt and pumps is riding her white and red moped .,3534952095_975cca0056.jpg
Ŋutsu aɖe do tso atsiaƒu me va do ɖe agakpe aɖe dzi,ewe_Latn,A man climbs out of the ocean onto a rock,3565655045_8eb00b7423.jpg
Mutu umwe waku baseball eji kutambukila ku baseball.,cjk_Latn,A baseball player swings at a baseball .,3339319023_5dcc3ef81a.jpg
Ọmọkùnrin tí ó ń yọ lórí ilẹ̀ ṣiṣu tó tutù,yor_Latn,Boy sliding on a wet plastic surface,2121357310_f8235311da.jpg
"D xemsa n warrac i d-yettεeddin deg yiwet n tmeslayt i yettusemman "" Tameqqart n Tẓaṭit "".",kab_Latn,Five little kids are on a ride called the Frog Hopper .,3706356018_28f62290e8.jpg
Mũndũũme ũla wĩ na koti mũtune ekĩĩte mũvĩla wa mũvĩla wa mũvĩla wa mũvĩla wa mũvĩla.,kam_Latn,The man with the red shirt is holding a basketball and is in front of a basketball hoop .,3626689571_5817f99c0e.jpg
Yimɓe goɗɗi ɗon ndarii nder yaasi.,fuv_Latn,A group of men stand outside .,3092756650_557c5f2d03.jpg
Ou mwana uze apwile nakusoloka nakusaka mwanangana umwe kuchihela.,cjk_Latn,a young boy running after a young girl on a beach .,2776029171_5abdd5a22f.jpg
Otu agadi nwoke nọ ọdụ.,ibo_Latn,An old man sits .,1387443857_602ab6f9bf.jpg
ራቁታቸውን ሰዎች ብስክሌት ሲጋልቡ .,amh_Ethi,Naked people riding bikes .,2581066814_179d28f306.jpg
Bana tatu ke sala panzi na bala-bala ya kusala panzi na zulu ya bapala-pala.,kon_Latn,Three children are skating on a rollerskating rink .,2704257993_d485058a5f.jpg
Arũme erĩ a kuuma Asia makĩambataga barabara-inĩ makĩnyiita tũthũ twa rangi mwerũ.,kik_Latn,Two asian men walking down the street holding red bags .,3347500603_13670ee6bf.jpg
Yaro mai bulu yana zaune a kan ƙanƙara a cikin ƙanƙara .,hau_Latn,A child in blue sitting on a sled in the snow .,3330680118_4e541889c1.jpg
Imbwa yafiita iyalebomba mu menshi.,bem_Latn,A black dog running through water .,1470132731_fa416b7504.jpg
Abakashana babili abali mu fikoti ifyafuuta balecinda pa nse ya balalume bamo aba kwimba.,bem_Latn,Two girls in puffy skirts are dancing in front of some musicians in the street .,3565598162_56044bc2f7.jpg
በአረንጓዴ ጃኬት የተለበጠ የስኖውቦርድ ሰው የተወሰነ አየር ይይዛል ።,amh_Ethi,A snowboarder in a green jacket catches some air .,3170802797_3c851bb475.jpg
Umuntu umo aikala pa tebulo pa ntanshi ya kompyuta kabili alefwala ama headphone.,bem_Latn,A man sits at a table in front of a computer wearing headphones .,1379026456_153fd8b51b.jpg
Twee sokkerspanne kom by die doel bymekaar en die goalie reik na die bal .,afr_Latn,Two soccer teams converge at the goal and the goalie reaches for the ball .,2113530024_5bc6a90e42.jpg
Sukaaɓe nder jakkaji kisal lambiɗi ɗon njooɗi dow ndiyam,fuv_Latn,Boys in orange life jackets sitting on raft in water,2461631708_decc5b8c87.jpg
Embwa enzirugavu n'eya tan nga badduka mu nnimiro,lug_Latn,A black and tan dog running in a field,334737767_7f344eee16.jpg
Brown and white dog jumping over a low rail with a tennis ball in his mouth .,lug_Latn,Brown and white dog jumping over a low rail with a tennis ball in his mouth .,3384314832_dffc944152.jpg
Embwa enjeru ng'eri mu jaketi y'obulamu ng'etunuulira omusajja ali mu lyato .,lug_Latn,A white dog in a life jacket looks at a man in a boat .,408627152_1feaa4b94e.jpg
"An' atatu a minzangala a zuata izuatu ia zele a di kuata mu maku, a di takula mu musanza ua menha.",kmb_Latn,Three young boys in blue swimming trunks hold hands and jump into an inground pool .,2730938963_c4ed3e2258.jpg
Aḍan amellal d aqjun aberkan yettnaɣen deg yiwen n lḥiḍ yeṭṭfen taḥezzart.,kab_Latn,A tan dog and a black dog fighting inside a fenced yard .,3486538055_bcf4d3dfda.jpg
Umwaume uwali mu cikoti ca buluu alekuula mu cikwama cabuuta.,bem_Latn,The man in the blue jacket is reaching into a white bag .,2754271176_4a2cda8c15.jpg
Mmadụ abụọ na-anọdụ gburugburu nnukwu ọkụ.,ibo_Latn,Two people sit around a large fire .,2610447973_89227ff978.jpg
Mbua ia mu zonda ku kikoka.,kmb_Latn,A dog jumping over a hurdle .,271637337_0700f307cf.jpg
Nkịta greyhound na-agba ọsọ n'okporo ụzọ unyi na ụlọ ndị dị nso .,ibo_Latn,The greyhound dogs are racing along a dirt path with buildings nearby .,2178095150_436b035741.jpg
Ciin koor cï cieŋ alɛ̈th cuëëc ee tɔ̈u në pool yic.,dik_Latn,A young girl in red bathing suit is in the pool .,502671104_b2114246c7.jpg
Yara biyu suna buga a kan kayan wasa .,hau_Latn,Two kids playing on playground equipment .,2562483332_eb791a3ce5.jpg
Nyɔnu aɖe kplɔa avu aɖe yia ʋɔtrua dzi le du aɖe me.,ewe_Latn,A woman leads a dog to jump a tall hurdle in a competition .,2831656774_36982aafdb.jpg
Mwana-bakala mosi ya me lwata velo ya mbwaki ke telama na matiti.,kon_Latn,Boy wearing a red jacket performs a handstand on the grass .,1540631615_8b42c1b160.jpg
በህዝብ መካከል አንዲት ልጃገረድ የተንቆጠቆጠች በግ ይዛ !,amh_Ethi,A girl in a crowd in holding on to a leashed sheep .,2745811124_12c4426b8b.jpg
Trucks race,dik_Latn,Trucks racing,2862481071_86c65d46fa.jpg
'N Man op 'n motorfiets doen 'n wheelie op die baan .,afr_Latn,A man on a motorcycle does a wheelie on the track .,2496236371_61dec88113.jpg
Wulujan dɔ tun b' a da la.,dyu_Latn,A dog with a baseball in his mouth .,3622929632_26fb800000.jpg
Nsongakaji wa mu tshingu tshia bule ne tshitupa tshia nsuki tshia bule udi useka.,lua_Latn,A girl in a purple shirt and a pink snoopy hat is laughing .,1316247213_1d2c726dd5.jpg
Mũswii wĩ na kĩkonzo kya kaũ mũnyũ kanyw'anĩ.,kam_Latn,A black poodle with a red rope toy in its mouth .,3317145805_071b15debb.jpg
Sin teqcicin i d-tesselmedin n tmedyazt.,kab_Latn,Two little girls practice martial arts .,2473738924_eca928d12f.jpg
Bambwa zole ke tambula na ntoto pene-pene ya mfinda.,kon_Latn,Two dogs run on a dirt area near a forest .,3593392955_a4125087f6.jpg
Yimɓe tati ɗon ɗon ɗon ɗaɓɓita fotooji nder suudu.,fuv_Latn,Three people are outdoors taking pictures .,3526431764_056d2c61dc.jpg
Nwa agbọghọ na-eto eto na uwe Spider-Man na-agba ịnyịnya egwuregwu .,ibo_Latn,A young girl in a Spider-Man outfit rides a toy horse .,2159447283_fab8c272b0.jpg
"Ekibinja ky'abaana nga basimbye satifikeeti zaabwe ,",lug_Latn,"a group of children posing with their certificates ,",472661386_723aae880b.jpg
Nkịta atọ na-agba ọsọ na mmiri n'ụsọ oké osimiri.,ibo_Latn,Three dogs are running in the water on the beach .,3630641436_8f9ac5b9b2.jpg
Babban karnuka yana duba ƙaramin karnuka wanda yake ɗanɗana igiya mai bulu .,hau_Latn,A large dog looks at a smaller dog who is chewing a blue rope .,3610189629_f46de92ab3.jpg
"Saí diiala ua mu zuela ni munzangala, kioso kia mu xikama.",kmb_Latn,An older man is speaking to a boy while both are sitting .,3694064560_467683205b.jpg
cɛw lɔnin be kabakuru dɔ gɛrɛfɛ,dyu_Latn,men are standing beside a stonesign,1387461595_2fe6925f73.jpg
ሶስት ሰዎች በአንድ የባቡር መኪና ላይ ተቀምጠዋል .,amh_Ethi,Three people are sitting on a subway car .,3332248667_617606714b.jpg
ጥቁር ሸሚዝ የለበሰ አንድ ሰው ከአንዲት ሴት ልጅ አጠገብ በሐምራዊ ሸርተቴ ላይ ይዋኝ ነበር ።,amh_Ethi,A man in a black shirt swims next to a girl on a pink surfboard .,515702827_be3c6ce857.jpg
Sin warrac meẓẓiyen deg waman s yiɣallen n ssurf amecṭuḥen.,kab_Latn,Two young boys in the water with small surfboards .,3328247381_a9f7fb4898.jpg
"O diiala dia kexile mu zuata saku ia ku nhunga, ua kexile mu tala ku mbandu.",kmb_Latn,A man wearing a backpack looking to the side .,2461990494_c5ece064cc.jpg
Embwa enzirugavu n'embwa enjeru bali wabweru nga bazannya n'eky'okuzannyisa ekiyitibwa pull .,lug_Latn,A black dog and a white dog are outside playing with a pull toy .,237547381_aa17c805e0.jpg
"Àwọn ọmọ mẹ́ta jókòó , wọ́n sì wo ilẹ̀ tó wà létí òkun adágún kan .",yor_Latn,Three kids squat down and look at the ground on the shore of a lake .,1874617189_e85d3f4326.jpg
"O munzangala uala ni kamukanda ka bulu, ua mu kuenda mu kididi kia ku tonoka.",kmb_Latn,a boy in a blue t-shirt is airborne on a skateboard in a skate park .,3618908551_7fd2de5710.jpg
Ŋutsu aɖe bɔbɔ nɔ aɖaka aɖe dzi nɔ mɔa dzi nɔ kpẽ ƒom.,ewe_Latn,A man sits on a box and plays a guitar in the street .,2245348304_08bc5642f1.jpg
Ajá náà wà ní àgbàlá .,yor_Latn,The dog is in the yard .,3334057289_68ece38a85.jpg
Mbwa moko ya moke ya brun mpe ya mpɛmbɛ oyo ezali koleka na matiti ya milai .,lin_Latn,A small brown and white dog running through tall grass .,2534502836_7a75305655.jpg
Mata biyun sun kwana a kan ciyawa tare .,hau_Latn,The two girls laid on the grass together .,2088532947_c628e44c4a.jpg
Katĩ wa mbwa isu nĩ mbulu na mbulu nene na mbulu nene.,kam_Latn,A brown dog and a white and black dog are running in grass .,2313230479_13f87c6bf3.jpg
Mwana mwasi oyo nsuki na ye ya kaki ezalaki kobeta mai .,lin_Latn,The girl with brown hair swam in the water .,2849194983_2968c72832.jpg
Bana mibale ya mike bazali kosakana elongo .,lin_Latn,two toddlers play together .,3182161610_4d349b257f.jpg
Mbwa yayinene yakulifuchi lyalifuchi lyalifuchi lyalifuchi lyalifuchi lyalifuchi lyalifuchi lyalifuchi lyalifuchi lyalifuchi lyalifuchi lya,cjk_Latn,Large brown dog walking in shallow water .,2869765795_21a398cb24.jpg
Wata mata da ta yi sanye da jaki mai ruɓaɓɓen TinkerBell ta juya a kan ƙarfe .,hau_Latn,A woman wearing a pink TinkerBell jacket leans against a railing .,870710405_51e507b31a.jpg
Umukashana uwaiminine mu cifulo icikalamba,bem_Latn,A girl standing in an enclosed place,475317104_1cdc1653b4.jpg
Umwana w'umukobwa ufite umubyibuho ukabije afite ibyo kurya mu maso ye yo hasi ndetse n'urutoki rwe mu kanwa.,kin_Latn,A little girl in a highchair has food all over her lower face and her finger in her mouth .,788126442_086334f0cf.jpg
Dhäny cï cieŋ alɛ̈th path acï bɛ̈n riŋ në tiim nhïïm kɔc juëc cï ye tïŋ.,dik_Latn,A woman in a red sports outfit is running on the grass in front of a crowd of spectators .,241345656_861aacefde.jpg
Kuwe ɗuuɗɗe ɗon njogii nder yaasi ɓaawo komiwal.,fuv_Latn,Several dogs play outside near a boat .,3365198533_539073002b.jpg
Omusajja eyabadde mu sikaati enzirugavu ng'atudde ku mwalo n'asoma .,lug_Latn,A man in a brown shirt sitting on a dock and reading .,119534510_d52b3781a3.jpg
Ọmọkùnrin kékeré kan tú omi láti inú garawa sí orí ọmọkùnrin kékeré mìíràn .,yor_Latn,A little boy pours water from a bucket onto another little boy 's head .,2271468944_3264d29208.jpg
Ruwan ruwa a teku ya faɗi bisa wata mace .,hau_Latn,A wave in the ocean crashes over a woman .,3638459638_ec74e3ff89.jpg
Ndị ikom atọ guzo n'ọhịa egwuregwu n'ihu ìgwè mmadụ buru ibu.,ibo_Latn,Three men stand on a sports field in front of a large crowd .,3301438465_10121a2412.jpg
Yara da manya ƙalilan suna wasa a cikin ruwan marar ruwa a ƙasa .,hau_Latn,Children and a few adults are playing in a water fountain on the ground .,2865409854_afedf98860.jpg
Bana betu ba balume ba bungi badi basaka bua kutua ndundu mu nzubu.,lua_Latn,Several little boys play indoor soccer .,3271178748_630d269811.jpg
Ụmụ nwanyị abụọ toro eto na-anọdụ ala na bench na-acha ọcha n'ogige ntụrụndụ .,ibo_Latn,Two older women sit on a white bench in a park .,2789688929_9424fceed1.jpg
Abaana babiri bafuuyiddwa amazzi..,lug_Latn,The two children are being sprayed by water,3347666612_659e6e2207.jpg
Argaz yettɛeddi deg yiwet n tmeslayt deg yiwet n tmetti tceɣlin.,kab_Latn,A man rollerblading down a path through an active community .,2344412916_9a5a9b1c82.jpg
"Abasajja babiri , nga batambula mu kiwato mu mazzi , ng'omusajja omu talina sikaati ng'alina enviiri eza kiragala n'emikono gya pinki .",lug_Latn,"Two men , walking waist deep in water , with one man shirtless with green hair and bright pink arms .",3257103624_e76f25ff9e.jpg
Nsongakaji mukese udi wenda unyema mu tshibandabanda tshia mabaya.,lua_Latn,A little girl is running down a hardwood floored hallway .,1481062342_d9e34366c4.jpg
የተወሰኑ ሰዎች በቀይ የእሳት አደጋ መከላከያ ዙሪያ ቆመዋል !,amh_Ethi,A group of people are standing around a red firetruck .,3432656291_a6c7981f6e.jpg
Yimɓe nder ɓalli laamiiji laamiiji laamiiji laamiiji laamiiji laamiiji laamiiji laamiiji laamiiji laamiiji laamiiji,fuv_Latn,A group of people in white stand with white goats .,1499554025_a8ffe0e479.jpg
"Yiwen deg-sen yella deg usekker n usekker, wayeḍ deg-s d iceṭṭiḍen.",kab_Latn,One person is on a ski lift while another snowboards .,3200120942_59cfbb3437.jpg
ነጭ ሽንትር የለበሱ የእግር ኳስ ተጨዋቾች ቡድን በስፖርት ሜዳ ኮኖች ዙሪያ እየሮጡ ነው .,amh_Ethi,A team of soccer players in white strips are running around cones on a sports field .,3313232606_4ce7e16b87.jpg
"Mai hawan 9 , yana hawan ƙasa a kan hanyar daji .",hau_Latn,"BMX rider , riding downhill on forest path .",3667404919_b273df57e4.jpg
Ɓiɗɗo mo o ɗon pellel nder leɗɗe.,fuv_Latn,A child playing in some leaves .,2972864304_481aeffe50.jpg
Umwanakashi uwakwete icikope alapoosa imbwa ya Frisbee pa kuti imbwa yakwe iya buraoni ikwate.,bem_Latn,Woman with camera is throwing a Frisbee for her brown dog to catch .,756521713_5d3da56a54.jpg
Mobali moko alati simisi ya mpɛmbɛ mpe ekoti azali kosalela bisaleli ya komata ngomba .,lin_Latn,A man in a white shirt and helmet is using climbing equipment .,143688283_a96ded20f1.jpg
nsongakaji mukese uvua upita mu kapia.,lua_Latn,a small girl trots through the snow .,2337377811_8c81b40a64.jpg
Abantu babiri barimo kuzamuka mu kibuye,kin_Latn,Two people are rock climbing .,3537218226_478d2e4f26.jpg
Yimɓe dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow dow,fuv_Latn,A man on a skateboard poses with a dog .,2618538137_44fffe10c4.jpg
Kamwana kamwe karĩ gũcakĩra mũbira wa basketball kĩhaaro-inĩ kĩa mathako.,kik_Latn,A boy dribbles a basketball in the gymnasium .,2021613437_d99731f986.jpg
"Aqjun amecṭuḥ yeqqim ger aqjun ameqqran, deg lexla.",kab_Latn,"A small dog stands next to a larger dog , out in a field .",424506167_01f365726b.jpg
Umuntu uwaikala pa ncinga ya mushili aliba mu matope.,bem_Latn,A man on a dirt bike is covered in mud .,3269895626_7b253c82ed.jpg
Ọkùnrin kan tó wọ ẹ̀wù dúdú dúró sí ilé - ìdárayá .,yor_Latn,A man in a black jersey is standing in gym .,3497236690_a48bf7ac42.jpg
Muntu kampanda udi uimba mu bikula kumpala kua butoke bua munya.,lua_Latn,A man sings into a microphone in front of a green light .,3049770416_0fb1954315.jpg
Bato mibale bazali kokima na libongo moko .,lin_Latn,Two people running on a beach .,1982852140_56425fa7a2.jpg
Ngulu ni pwo vanakundama.,cjk_Latn,A dog and a woman bending over .,2467850190_07a74d89b7.jpg
Umugabo agendera mu nzira.,kin_Latn,A man running on a track .,3111208043_dbe8e87fa1.jpg
Aṭas n medden i yetturaren iẓuran deg teẓgi.,kab_Latn,A group of people playing instruments in the woods .,3398788809_25c71ba018.jpg
Gĩkundi kĩnene kĩa andũ nĩ kĩarũgamĩte nja.,kik_Latn,A large group of people have formed a line outside .,3441104823_33cdae5a56.jpg
Imbwa igwa hejuru y'umusozi,kin_Latn,A dog jumping over a hurdle .,271637337_0700f307cf.jpg
Sin warrac meẓẓiyeḍ i yetturaren yid-sen.,kab_Latn,Two young children sitting together playing .,3143155555_32b6d24f34.jpg
mony thiin koor cï nyuc ku ye thieek kuen,dik_Latn,a young man sitting and petting his dog,930748509_8ca5cf5c24.jpg
Mwana moke ya mobali asopi mai na katini na motó ya mwana mosusu ya moke ya mobali.,lin_Latn,A little boy pours water from a bucket onto another little boy 's head .,2271468944_3264d29208.jpg
"Ame ɖeka le tɔdziʋu si me woazãna le tsia dzi la dzi, eye ame bubu hã le snowo dzi tom.",ewe_Latn,One person is on a ski lift while another snowboards .,3200120942_59cfbb3437.jpg
Chihela chize atu akwimanga ha museke,cjk_Latn,A beach with people standing on the sand,2834103050_512e5b330a.jpg
Wani mai jirgin ruwa yana duba mutumin da yake zaune a ƙasa yana kuka .,hau_Latn,A sailor is checking on a man who is sitting on the ground crying .,3150440350_b0f2a9e774.jpg
"An'a kiiadi a mu bhanga ji joko ja ku lenga, umoxi ua mu kuata o kialu ku mbandu ia kiasu",kmb_Latn,Two boys playing tug of war while one reaches out to chair on left,2169067981_cc19268f23.jpg
Aqjun yettɣelliben deg uḍar n baseball d aqjun nniḍen.,kab_Latn,A spotted dog playing on a baseball field with another dog .,486720042_b785e7f88c.jpg
አለባበስ የለበሱ ወጣት ሴቶች መድረክ ላይ ቆመው,amh_Ethi,Young women in dresses standing on a stage,3697378565_7060d9281a.jpg
Dennin dɔ be yɛlɛla jɔ sanfɛ,dyu_Latn,A small child climbing on an elevated net,1572286502_64e5c4b920.jpg
Boston Terrier yettɛeddi ɣef uẓekka yeččuren i d-yettwaṭṭfen zdat n yiwen n uḥric amellal.,kab_Latn,A Boston Terrier is running on lush green grass in front of a white fence .,1009434119_febe49276a.jpg
diäär karou aa ye cuɛt në cuɛt.,dik_Latn,two women are kick boxing .,3679341667_936769fd0c.jpg
ሙዝዝድ ግሪሃውንድ በውሻ መንገድ ላይ እየተሯሯጡ ነው .,amh_Ethi,Muzzled greyhounds are racing along a dog track .,2903469015_a1e7d969c2.jpg
Wulu barakaman dɔ be jii la kɛnɛma ni tenisibɔlɔ ye a daa la.,dyu_Latn,There is a brown dog swimming outside with a tennis ball in its mouth .,3496028495_431cfdc042.jpg
Mwana ũmwe wĩ na kĩsululu kĩ na mavalũa ma kũthaũka na kũthaũka,kam_Latn,A kid in a striped tank top skateboards down the street,2745663684_650f84e1e6.jpg
Umulumendo no mwanakashi umwina Asia baleenda mu mupaki.,bem_Latn,An Asian boy and girl are walking in a park .,3400041870_4e7732b40f.jpg
